comment,count
paper,1488
rock,1399
scissor,874
noise,857
scissors,672
stone,118
ug,53
papers,14
plain paper,5
phone,5
v,5
scessior,5
pape,4
papet,4
rocky,3
papper,3
rcok,3
,3
paer,2
noiseee,2
noisr,2
scissorscissor,2
sissors,2
nosie,2
scisssors,2
scissot,1
maruthi paper,1
papets,1
per,1
roxk,1
rck,1
noisy,1
noisee,1
super,1
discard,1
rcck,1
roc,1
nouse,1
psper,1
scisors,1
scissros,1
none,1
rock and paper,1
rivk,1
papert,1
rok,1
rick,1
stoneee,1
scisosors,1
noiaw,1
noie,1
paperp,1
rockstone,1
vaidhav,1
stome,1
rockk,1
papaer,1
ston,1
m noise,1
what,1
niceeeee,1
