comment,count
paper,1485
rock,1392
scissor,872
noise,856
scissors,669
stone,118
2023ug000127,53
papers,13
plain paper,5
phone,5
v,5
scessior,5
papet,4
pape,4
rocky,3
papper,3
rcok,3
noisr,2
paer,2
noiseee,2
rock 🪨,2
sissors,2
scissors✂,2
scisssors,2
nosie,2
scissorscissor,2
paper 📄,1
🪨 rock,1
per,1
papets,1
maruthi paper,1
scissot,1
rck,1
noisy,1
rcck,1
roxk,1
noisee,1
discard,1
✂️,1
rock🤘,1
✂scissors,1
🤘rock,1
paper 📃,1
roc,1
super,1
nouse,1
paper📄,1
✂,1
scissor ✂️,1
📄papers,1
scissros,1
scisors,1
papert,1
🤘 rock,1
scissor\,1
none,1
rock and paper,1
rock',1
rivk,1
rok,1
rick,1
psper,1
stoneee,1
scisosors,1
noise\\,1
noiaw,1
noie,1
paperp,1
rockstone,1
vaidhav,1
stome,1
rockk,1
papaer,1
ston,1
3,1
m noise,1
what,1
niceeeee,1
